text,label
This,science and education
activity,science and education
addresses,science and education
climate,science and education
change,science and education
impacts,science and education
that,science and education
affect,science and education
all,science and education
states,science and education
that,science and education
are,science and education
part,science and education
of,science and education
the,science and education
Colorado,science and education
River,science and education
Basin,science and education
and,science and education
are,science and education
dependent,science and education
on,science and education
its,science and education
water.,science and education
Students,science and education
examine,science and education
available,science and education
"data,",science and education
the,science and education
possible,science and education
consequences,science and education
of,science and education
changes,science and education
to,science and education
various,science and education
user,science and education
"groups,",science and education
and,science and education
suggest,science and education
solutions,science and education
to,science and education
adapt,science and education
to,science and education
these,science and education
changes.,science and education
This,science and education
video,science and education
highlights,science and education
a,science and education
variety,science and education
of,science and education
climate,science and education
change,science and education
research,science and education
initiatives,science and education
from,science and education
scientists,science and education
at,science and education
the,science and education
University,science and education
of,science and education
"Colorado,",science and education
Boulder.,science and education
It,science and education
describes,science and education
the,science and education
changing,science and education
dynamics,science and education
of,science and education
Antarctic,science and education
ice,science and education
sheets,science and education
and,science and education
the,science and education
impacts,science and education
of,science and education
reduced,science and education
Arctic,science and education
sea,science and education
ice.,science and education
The,science and education
video,science and education
illustrates,science and education
the,science and education
excitement,science and education
of,science and education
this,science and education
research,science and education
through,science and education
interviews,science and education
and,science and education
video,science and education
clips,science and education
of,science and education
scientists,science and education
in,science and education
the,science and education
field.,science and education
This,science and education
video,science and education
features,science and education
CU,science and education
Boulder,science and education
Professor,science and education
Jeff,science and education
Mitton,science and education
and,science and education
his,science and education
research,science and education
"team,",science and education
who,science and education
study,science and education
the,science and education
effects,science and education
of,science and education
mountain,science and education
pine,science and education
beetle,science and education
infestations,science and education
on,science and education
the,science and education
forest,science and education
ecology,science and education
in,science and education
the,science and education
Rocky,science and education
Mountains.,science and education
They,science and education
explain,science and education
the,science and education
pine,science and education
beetle,science and education
life,science and education
cycle,science and education
and,science and education
how,science and education
they,science and education
attack,science and education
trees.,science and education
An,science and education
outlook,science and education
into,science and education
the,science and education
future,science and education
is,science and education
also,science and education
provided.,science and education
An,science and education
attractive,science and education
concept/mind,science and education
map,science and education
that,science and education
illustrates,science and education
various,science and education
human,science and education
strategies,science and education
for,science and education
responding,science and education
to,science and education
climate,science and education
change.,science and education
It,science and education
was,science and education
developed,science and education
by,science and education
a,science and education
psychologist,science and education
and,science and education
not,science and education
by,science and education
an,science and education
educator,science and education
or,science and education
scientist,science and education
but,science and education
can,science and education
be,science and education
used,science and education
to,science and education
inspire,science and education
discussion,science and education
and,science and education
artistic,science and education
representations,science and education
of,science and education
the,science and education
human,science and education
dimension,science and education
to,science and education
climate,science and education
and,science and education
energy,science and education
issues.,science and education
In,science and education
this,science and education
"activity,",science and education
students,science and education
use,science and education
climate,science and education
data,science and education
to,science and education
develop,science and education
a,science and education
simple,science and education
graph,science and education
of,science and education
how,science and education
climate,science and education
has,science and education
changed,science and education
over,science and education
time,science and education
and,science and education
then,science and education
present,science and education
the,science and education
result,science and education
in,science and education
a,science and education
"blog,",science and education
emphasizing,science and education
effective,science and education
science,science and education
communication.,science and education
This,science and education
activity,science and education
explores,science and education
how,science and education
the,science and education
topic,science and education
of,science and education
climate,science and education
change,science and education
is,science and education
represented,science and education
in,science and education
various,science and education
forms,science and education
of,science and education
"writing,",science and education
from,science and education
scholarly,science and education
articles,science and education
to,science and education
opinion,science and education
pieces,science and education
and,science and education
works,science and education
of,science and education
fiction.,science and education
While,science and education
the,science and education
content,science and education
does,science and education
not,science and education
emphasize,science and education
climate,science and education
science,science and education
"itself,",science and education
it,science and education
instead,science and education
allows,science and education
students,science and education
to,science and education
focus,science and education
on,science and education
how,science and education
the,science and education
science,science and education
is,science and education
being,science and education
portrayed.,science and education
In,science and education
this,science and education
"activity,",science and education
students,science and education
collect,science and education
data,science and education
and,science and education
analyze,science and education
the,science and education
cost,science and education
of,science and education
using,science and education
energy,science and education
in,science and education
their,science and education
homes,science and education
and,science and education
investigate,science and education
one,science and education
method,science and education
of,science and education
reducing,science and education
energy,science and education
use.,science and education
This,science and education
activity,science and education
provides,science and education
educators,science and education
and,science and education
students,science and education
with,science and education
the,science and education
means,science and education
to,science and education
connect,science and education
'energy,science and education
use,science and education
consequences',science and education
and,science and education
'climate,science and education
change,science and education
causes.',science and education
Through,science and education
examining,science and education
home,science and education
energy,science and education
use,science and education
and,science and education
calculating,science and education
both,science and education
pollution,science and education
caused,science and education
by,science and education
the,science and education
generation,science and education
of,science and education
electricity,science and education
and,science and education
potential,science and education
"savings,",science and education
students,science and education
can,science and education
internalize,science and education
these,science and education
issues,science and education
and,science and education
share,science and education
information,science and education
with,science and education
their,science and education
families.,science and education
This,science and education
well-designed,science and education
experiment,science and education
compares,science and education
CO2,science and education
impacts,science and education
on,science and education
salt,science and education
water,science and education
and,science and education
fresh,science and education
water.,science and education
In,science and education
a,science and education
short,science and education
"demonstration,",science and education
students,science and education
examine,science and education
how,science and education
distilled,science and education
water,science and education
"(i.e.,",science and education
pure,science and education
water,science and education
without,science and education
any,science and education
dissolved,science and education
ions,science and education
or,science and education
compounds),science and education
and,science and education
seawater,science and education
are,science and education
affected,science and education
differently,science and education
by,science and education
increasing,science and education
carbon,science and education
dioxide,science and education
in,science and education
the,science and education
air.,science and education
This,science and education
web,science and education
page,science and education
from,science and education
the,science and education
National,science and education
Snow,science and education
and,science and education
Ice,science and education
Data,science and education
Center,science and education
contains,science and education
two,science and education
related,science and education
visualizations,science and education
and,science and education
supporting,science and education
information,science and education
about,science and education
them.,science and education
The,science and education
first,science and education
visualization,science and education
gives,science and education
an,science and education
estimate,science and education
of,science and education
the,science and education
percent,science and education
contribution,science and education
to,science and education
sea,science and education
level,science and education
change,science and education
since,science and education
the,science and education
1990s,science and education
from,science and education
three,science and education
contributors,science and education
-,science and education
small,science and education
glaciers,science and education
and,science and education
ice,science and education
"caps,",science and education
the,science and education
Greenland,science and education
Ice,science and education
Sheet,science and education
and,science and education
the,science and education
Antarctic,science and education
Ice,science and education
Sheet.,science and education
The,science and education
second,science and education
visualization,science and education
shows,science and education
the,science and education
