text,label
"This video features residents of Shishmaref, Alaska, plus environmental journalist Elizabeth Kolbert and scientist John Holdren, exploring the human impacts of global climate change.",science and education
"The coral reefs of the South Pacific island nation of Vanuatu are the backbone of the island's environmental and economic health. Today they face destruction from a silent predator that can rapidly decimate an entire reef. In this video, students learn about how a starfish is destroying the coral reefs of Vanuatu and how the islanders are adapting.",science and education
This video begins in the lush deltas of Bangladesh. The host of the video learns how communities are adapting to changing monsoons and dangerous sea-level rise. Floating gardens and floating schools are just the start of some of the country's innovative strategies.,science and education
"In this video, learn how communities in the arid high-mountain region of Ladakh rely on glacial water to feed streams and water crops during the spring and summer months. Global warming is dramatically reshaping the future of these areas. Meet a Ladakhi teacher and engineer who devised a method to capture and store glacial runoff into magnificent ice pyramids that are used as water resources throughout the summer and during peak agricultural months.",science and education
"In this video, an entrepreneur is finding new ways to manage the invasive Asian carp problem in the Mississippi and Ohio rivers. Once introduced to help mitigate an algae problem, the carp became invasive. This video highlights how the local community has adapted to the issue, including how they have gained ideas about how to utilize the carp from other cultures to help mitigate the issue.",science and education
A video from the Extreme Ice Survey in which Dr. Tad Pfeffer and photographer Jim Balog discuss the dynamics of the Columbia glacier's retreat in recent years through this time-lapse movie. Key point: glacier size is being reduced not just by glacial melting but due to a shift in glacial dynamics brought on by climate change.,science and education
"In this 6-part activity, students learn about climate change during the Cenozoic and the abrupt changes at the Cretaceous/Paleogene boundary (65.5 million years ago), the Eocene/Oligocene boundary (33.9 million years ago), and the Paleocene/Eocene boundary (55.8 million years ago).",science and education
"In this activity, students use the absorption spectra of greenhouse gases to explore the nature of the greenhouse effect.",science and education
This video follows biologist Gretchen Hofmann as she studies the effects of ocean acidification on sea urchin larvae.,science and education
"This short video is an excerpt from the longer video Acid Test: The Global Challenge of Ocean Acidification, produced by the National Resources Defense Council (NRDC). This short version summarizes the science of ocean acidification as well as the social implications.",science and education
"This 20-minute video, produced by the UN Framework Convention on Climate Change, describes adaptation strategies undertaken by several groups and nations in response to rising sea level and other aspects of climate change.",science and education
"In this activity, students assess individual and national opinions on climate change and explore strategies that communities are employing to adapt to aspects of climate change already affecting them in addition to those likely to affect them in the future.",science and education
This video uses Bangladesh as a case study by describing climate change adaptation strategies being implemented in Bangladeshi communities as well as in other countries.,science and education
A short video that discusses how changing climate is affecting the population of AdÃlie penguins.,science and education
"This activity from NOAA Ocean Service is about using aerial photographs to assess the impact of extreme weather events such as Hurricane Katrina. The activity features aerial views of Biloxi, MS post-Katrina and enables students to see evidence of the power of extreme weather on the environment.",science and education
After the Ice: Our Food discusses changes in historic food sources for Arctic Native Americans. Global climate change is altering yearly cycles of both ice coverage and depth in the Bering Sea. Changes in the ice affect the way local native groups hunt in order to feed their community.,science and education
