https://oercommons.org/courses/antarctica-ice?__hub_id=100,"This short video examines the recent melting ice shelves in the Antarctica Peninsula; the potential collapse of West Antarctic ice shelf; and how global sea levels, coastal cities, and beaches would be affected.",Physical Science
https://oercommons.org/courses/antarctica-s-ice-on-the-move?__hub_id=100,"This activity is part of the Antarctica's Climate Secrets flexhibit. Students learn about and create models of glaciers and ice sheets, ice shelves, icebergs and sea ice.",Physical Science
https://oercommons.org/courses/anya-citizen-science-in-siberia-young-voices-on-climate-change-3?__hub_id=100,"Citizen scientist Anya, an indigenous Siberian girl, witnesses the changes in her community as a result of climate change after working with Woods Hole scientist Max Holmes' research team aboard her father's ship. She gets involved in collecting water samples to learn, and teach her schoolmates about, global warming.",Environmental Science
https://oercommons.org/courses/aquarius-ocean-circulation-3?__hub_id=100,"This short video from NASA discusses the role that salinity plays in Earth's climate and ocean circulation, focusing on the observations of the Aquarius satellite.",Environmental Science
https://oercommons.org/courses/arcgis-living-atlas-indicators-of-the-planet?__hub_id=100,"Living Atlas Indicators of the Planet provide the user with up-to-date data, maps, graphs, charts, animation and other visuals to explore the science of climate and environmental change. 18 indicators from Air Quality to Women in Parliament can be explored.",Environmental Science
https://oercommons.org/courses/arctic-climate-curriculum-activity-1-exploring-the-arctic-2?__hub_id=100,"This lesson sequence guides students to learn about the geography and the unique characteristics of the Arctic, including vegetation, and people who live there. Students use Google Earth to explore the Arctic and learn about meteorological observations in the Arctic, including collecting their own data in hands-on experiments. This is the first part of a three-part curriculum about Arctic climate.",Environmental Science
https://oercommons.org/courses/arctic-climate-curriculum-activity-2-do-you-really-want-to-visit-the-arctic-2?__hub_id=100,"In this jigsaw activity, students explore meteorological data collected from Eureka, Canada to try to decide when would be the best time for an Arctic visit.",Environmental Studies
https://oercommons.org/courses/arctic-climate-curriculum-activity-3-exploring-arctic-climate-data-2?__hub_id=100,"In this activity, students use authentic Arctic climate data to unravel some causes and effects related to the seasonal melting of the snowpack and to further understand albedo.",Environmental Science
https://oercommons.org/courses/arctic-climate-feedbacks-2?__hub_id=100,"This video uses film of the Arctic and Arctic researchers as well as animations to discuss feedbacks in the Arctic climate system related to sea ice, the ocean, and clouds. It explains concepts such as albedo and positive and negative feedbacks. The narrative includes discussion of current research and a summary which explains why understanding feedbacks is important.",Environmental Science
https://oercommons.org/courses/arctic-climate-perspectives-2?__hub_id=100,"This video, along with a background essay, focuses on impacts of climate change on the lives of Native Alaskans around Barrow, Alaska. Specific changes include the timing of the changes in the formation and breakout of sea ice and the impacts on subsistence living.",Environmental Science
https://oercommons.org/courses/the-arctic-our-first-sign-of-climate-change?__hub_id=100,This video provides an overview of changes happening in the Arctic.,Environmental Science
https://oercommons.org/courses/arctic-sea-ice-concentrations-for-september-minimum-2?__hub_id=100,This animation shows the Arctic sea ice September (minimum) extents from 1979-2016. Accessible from http://nsidc.org/cryosphere/sotc/sea_ice.html,Environmental Science
https://oercommons.org/courses/arctic-sea-ice-is-losing-its-bulwark-2?__hub_id=100,This visualization shows static and animated images of changes in Arctic sea ice 1984-2016.,Environmental Science
https://oercommons.org/courses/arctic-tundra-may-contribute-to-warmer-world-2?__hub_id=100,"In this audio slideshow, an ecologist from the University of Florida describes the radiocarbon dating technique that scientists use to determine the amount of carbon within the permafrost of the Arctic tundra. Understanding the rate of carbon released as permafrost thaws is necessary to understand how this positive feedback mechanism is contributing to climate change that may further increase global surface temperatures.",Environmental Science
https://oercommons.org/courses/are-humans-influencing-modern-climate-2?__hub_id=100,"In this short video, host Dr. Ryan interviews graduate student Amy Steiker at the Institute of Arctic and Alpine Research about her research, using isotopes of nitrous oxide, connecting human activity to greenhouse gas emissions.",Environmental Science
https://oercommons.org/courses/are-you-an-energy-efficient-consumer-3?__hub_id=100,"This activity engages students in learning about ways to become energy efficient consumers. Students examine how different countries and regions around the world use energy over time, as reflected in night light levels. They then track their own energy use, identify ways to reduce their individual energy consumption, and explore how community choices impact the carbon footprint.",Physical Science
https://oercommons.org/courses/as-permafrost-thaws-scientists-study-the-risks-2?__hub_id=100,"This article and slide show from the New York Times, features several scientists from the University of Alaska, Fairbanks, who study the effects of thawing permafrost in Alaska.",Environmental Science
